"","ID","P.value","Significant","Expression.profile","VEG","MEI","FRG","DEV1","DEV2.3","DEV4"
"35196","PTET.51.1.G0840153","2,63E-007","YES","Late repression","6172,779983","4491,458721","2744,086142","2694,258375","2057,613866","2051,829182"
"35197","PTET.51.1.G0840156","2,60E-010","YES","Late induction","27,07039278","58,11691813","75,90808959","60,78569298","90,96484626","133,3279076"
"35198","PTET.51.1.G0840159","1,21E-005","YES","Late induction","165,8706641","207,4405325","284,7584954","258,6863697","328,4123673","487,8739832"
"35199","PTET.51.1.G0840161","1,08E-029","YES","Intermediate peak","11,65037174","122,3753532","629,1989072","593,6380545","153,3192462","106,9743993"
"35200","PTET.51.1.G0840162","0,000185456","YES","Late repression","137,5671129","83,67419556","96,45450744","55,12866027","55,51406922","52,47597877"
"35201","PTET.51.1.G0840165","4,24E-008","YES","Early repression","364,3947352","42,06988916","24,68635527","35,6950604","92,68860399","99,31757737"
"35202","PTET.51.1.G0840168","0,000129436","YES","Late induction","315,7701002","658,7505219","518,5506271","515,5546062","853,1734155","1007,006611"
"35203","PTET.51.1.G0840170","7,02E-014","YES","Early repression","35761,32995","14301,1191","8967,111596","7148,387635","9736,641363","5636,990636"
"35204","PTET.51.1.G0840171","5,77E-008","YES","Early repression","1004,241185","502,7406503","410,3764022","469,143348","530,2896398","404,5782061"
"35205","PTET.51.1.G0840172","1,84E-005","YES","Early repression","218,6576149","95,90339943","99,20594326","145,7394546","176,5785739","130,4111701"
"35206","PTET.51.1.G0840175","1,17E-031","YES","Late repression","255,927823","551,2194442","481,4002914","541,0981532","35,43934909","50,21101785"
"35207","PTET.51.1.G0840176","6,99E-005","YES","Late repression","142,6877344","144,3598909","126,0718325","106,2706637","46,24136197","57,33899145"
"35208","PTET.51.1.G0840177","2,95E-006","YES","Intermediate peak","264,0875514","473,1982324","568,8940017","538,8029986","421,4731066","498,0318615"
"35209","PTET.51.1.G0840180","4,45E-008","YES","Late repression","128,2113685","170,8841548","377,1750205","259,047167","31,23259169","46,1668474"
"35210","PTET.51.1.G0840182","5,42E-005","YES","Early repression","2453,213908","1616,23491","1485,333155","1119,557815","1285,59477","1181,737983"
"35211","PTET.51.1.G0840183","2,76E-009","YES","Late repression","3018,924724","5276,579334","2303,049685","1404,608156","1967,392895","1738,661624"
"35212","PTET.51.1.G0840185","2,98E-006","YES","Early repression","868,820141","384,7764618","346,607007","412,3571313","570,6037495","437,9676184"
"35213","PTET.51.1.G0840190","2,78E-004","YES","Late induction","43,45761522","140,8498339","86,98021866","179,3971628","157,9706131","318,0210786"
"35214","PTET.51.1.G0840191","1,75E-012","YES","Late repression","93,5439598","118,5023357","150,369581","176,1201949","15,49512109","19,17554177"
"35215","PTET.51.1.G0840192","0,000128198","YES","Early peak","11,789477","38,44382618","50,75597521","35,27966781","7,123643377","7,162572989"
"35216","PTET.51.1.G0840196","9,96E-015","YES","Early repression","12079,42919","8891,284616","5351,519732","3295,369115","2844,719342","3197,154114"
"35217","PTET.51.1.G0840197","1,34E-005","YES","Late induction","38,90503739","160,4874867","82,84753098","82,35646704","157,179223","169,8388345"
"35218","PTET.51.1.G0840199","0,002132901","YES","Early peak","60,71587959","97,49509814","93,99530872","101,2404076","86,95873082","99,57095586"
"35219","PTET.51.1.G0850007","3,67E-035","YES","Early repression","24744,33379","4128,836787","3489,090801","2785,078704","3374,323921","3202,274547"
"35220","PTET.51.1.G0850008","3,04E-006","YES","Late induction","76,43691272","97,79524301","108,9359502","156,1263487","200,4427538","170,1496593"
"35221","PTET.51.1.G0850010","1,59E-004","YES","Late induction","13,14762088","52,2625485","97,61460964","64,25981908","83,53490999","177,112466"
"35222","PTET.51.1.G0850014","6,01E-022","YES","Late repression","468,0317","499,6042935","813,6146206","493,9923235","85,40012193","142,2502642"
"35223","PTET.51.1.G0850017","0,007093412","YES","Late peak","135,0617029","184,2637993","153,0628652","303,7813616","328,2304131","314,5490063"
"35224","PTET.51.1.G0850020","2,14E-010","YES","Early repression","2403,458939","365,7223036","190,8811178","207,3036938","500,3194722","536,1150965"
"35225","PTET.51.1.G0850022","1,01E-005","YES","Late induction","38,96250759","72,92898985","103,3558408","151,0190792","161,6191409","267,7415003"
"35226","PTET.51.1.G0850026","4,37E-027","YES","Late induction","1034,739722","1441,741344","3340,524212","3485,071144","5121,673276","9606,39783"
"35227","PTET.51.1.G0850027","0,004729433","YES","Late induction","92,63964259","84,2937469","138,5815474","219,8946847","225,2604024","99,55671633"
"35228","PTET.51.1.G0850033","2,15E-004","YES","Late peak","17,40649102","14,96784018","33,61364865","46,00954954","61,13897369","6,518517589"
"35229","PTET.51.1.G0850034","9,06E-008","YES","Late repression","202,6568492","536,5863453","315,0630127","242,2373029","38,73990316","66,31144822"
"35230","PTET.51.1.G0850036","5,34E-015","YES","Late peak","142,4620373","318,4862505","206,7007817","263,9679244","343,5897135","97,96388466"
"35231","PTET.51.1.G0850038","3,08E-003","YES","Early repression","886,2946314","699,1661449","427,8400597","356,5281178","504,8333377","417,362299"
"35232","PTET.51.1.G0850039","1,87E-014","YES","Late repression","17499,56055","17529,03426","15756,35539","15426,36748","5127,725131","490,946456"
"35233","PTET.51.1.G0850040","6,86E-006","YES","Late induction","16,65897389","32,89352664","37,44132486","52,01915686","58,03870155","79,09070447"
"35234","PTET.51.1.G0850049","0,003020985","YES","Late repression","35486,11397","18994,61369","18159,33916","15587,97117","14817,34411","21568,7116"
"35235","PTET.51.1.G0850051","0,003064155","YES","Late induction","12707,73191","17453,87432","15629,4063","25169,47246","27972,85198","23241,06261"
"35236","PTET.51.1.G0850054","5,72E-015","YES","Intermediate peak","7,135979085","66,22031636","98,97474019","95,92509758","112,292525","204,1158903"
"35237","PTET.51.1.G0850059","8,29E-005","YES","Late induction","32,7413275","70,18901645","62,88060138","60,13623231","132,4342904","74,53255408"
"35238","PTET.51.1.G0850060","3,06E-005","YES","Early repression","226,702264","84,68292626","111,5627011","110,4171501","129,7024858","143,9730046"
"35239","PTET.51.1.G0850063","2,20E-007","YES","Late induction","284,1149477","347,9756893","347,1369994","426,1102295","578,184378","725,8767271"
"35240","PTET.51.1.G0850065","2,69E-005","YES","Early peak","83,68915011","592,0895056","313,7951462","153,8581034","19,86291347","48,21498636"
"35241","PTET.51.1.G0850067","6,51E-006","YES","Late induction","53,46141277","46,81578934","91,54373962","104,5965942","130,9443054","119,9231742"
"35242","PTET.51.1.G0850069","3,97E-009","YES","Early repression","128,0047973","93,41687108","55,76950966","64,29594892","64,81413576","83,42611255"
"35243","PTET.51.1.G0850070","4,54E-003","YES","Late repression","1182,442658","2338,153373","1815,410771","1555,71425","474,7398634","461,6010415"
"35244","PTET.51.1.G0850071","3,27E-006","YES","Late peak","643,1988197","1145,74935","558,1367984","1640,672146","1569,084099","698,8636358"
"35245","PTET.51.1.G0850072","9,06E-011","YES","Late induction","90,68304412","154,15121","185,4574638","231,8705896","362,9748114","327,5828812"
"35246","PTET.51.1.G0850074","0,005243758","YES","Late induction","0","0,977041441","21,87426653","349,0867605","223,2665926","67,87233127"
"35247","PTET.51.1.G0850078","2,43E-008","YES","Late repression","53,93323632","26,91454719","33,46981152","24,78438757","18,46885555","17,90211759"
"35248","PTET.51.1.G0850088","1,43E-003","YES","Late repression","118,8137827","51,70887837","126,968509","70,16740697","56,77695919","58,25225455"
"35249","PTET.51.1.G0850089","6,87E-005","YES","Late induction","1150,328312","1248,054745","1185,021543","1866,792961","2505,174745","2654,79655"
"35250","PTET.51.1.G0850091","1,09E-024","YES","Late repression","697,6688846","714,9921593","911,024888","1005,04016","57,46501432","68,93535671"
"35251","PTET.51.1.G0850093","8,32E-005","YES","Early repression","534,823902","349,3806184","265,5474678","332,7475652","336,1178562","284,1414493"
"35252","PTET.51.1.G0850097","0,000371064","YES","Intermediate peak","20,99268953","34,65648604","55,65370759","57,85618749","58,42145164","68,58431765"
"35253","PTET.51.1.G0850104","6,58E-005","YES","Late peak","5556,108864","13736,48997","7082,473539","7954,582147","19336,02807","8376,375145"
"35254","PTET.51.1.G0850107","1,93E-005","YES","Early repression","865,5891936","477,1651134","460,779408","483,9308947","537,5264646","380,8954228"
"35255","PTET.51.1.G0850114","1,54E-016","YES","Late repression","138,6837344","131,0960386","193,5721403","143,330326","13,15484005","26,6714158"
"35256","PTET.51.1.G0850117","0,000709028","YES","Intermediate peak","79,53802121","149,6459416","182,8540141","120,2267468","129,5292688","166,620662"
"35257","PTET.51.1.G0850118","1,88E-003","YES","Intermediate peak","57,26219046","76,89474858","131,3691166","121,9361856","117,9296287","114,1352743"
