"","ID","P.value","Significant","Expression.profile","VEG","MEI","FRG","DEV1","DEV2.3","DEV4"
"50","PTET.51.1.G0010098","7,04E-002","NO","none","113,0682922","130,4363446","165,3779842","197,6265372","119,5733447","107,3387546"
"51","PTET.51.1.G0010099","2,57E-003","NO","none","228,78277","199,6992493","222,8868677","286,9483545","127,2458559","110,7369172"
"52","PTET.51.1.G0010101","7,84E-003","NO","none","597,952545","420,0819344","399,0414543","400,8620809","407,4693814","431,9370359"
"53","PTET.51.1.G0010103","0,300496275","NO","none","5,498832855","10,11386073","10,80648801","8,539539817","6,837702797","14,39411204"
"54","PTET.51.1.G0010104","0,003795106","NO","none","510,4693486","631,3270763","665,0548925","780,2166264","759,6982794","455,7340948"
"55","PTET.51.1.G0010106","0,141986922","NO","none","13,81207487","39,16295723","45,91200262","37,2913934","39,80033613","61,71045209"
"56","PTET.51.1.G0010107","5,08E-001","NO","none","16,14839125","7,51478771","7,876840912","5,584999475","22,30344799","3,166567233"
"57","PTET.51.1.G0010108","1,34E-002","NO","none","11,62393395","7,795399677","10,72099394","14,88241028","20,7393218","31,33919309"
"58","PTET.51.1.G0010110","6,16E-001","NO","none","15,92056904","11,31851351","9,689954615","18,46348261","19,55224983","9,029042375"
"59","PTET.51.1.G0010111","0,722476357","NO","none","213,3189867","192,5216411","224,2944356","182,5010335","213,3985714","232,1931522"
"60","PTET.51.1.G0010112","0,234862414","NO","none","899,0928875","767,8480331","979,3215867","934,2726715","638,0880074","843,7176785"
"61","PTET.51.1.G0010113","9,38E-002","NO","none","145,8818786","103,8850645","117,3566972","97,50215379","120,9694561","83,33800915"
"62","PTET.51.1.G0010114","4,79E-006","NO","none","230,7838714","259,1813388","429,9094634","359,5875208","381,5105082","362,2189411"
"63","PTET.51.1.G0010116","2,62E-003","NO","none","96,15958795","106,9660229","174,3307091","159,2287177","116,1149249","124,78059"
"64","PTET.51.1.G0010117","1,51E-002","NO","none","34,82885163","51,54034923","35,60143405","49,58304655","62,85008644","47,60970622"
"65","PTET.51.1.G0010119","1,21E-001","NO","none","34,68306856","5,496853401","7,291931806","5,464323443","8,417901624","6,051179849"
"66","PTET.51.1.G0010120","0,388810386","NO","none","161,0203024","146,1573545","144,0806285","136,4850693","163,5842771","126,5356105"
"67","PTET.51.1.G0010121","4,07E-002","NO","none","488,9385412","303,7029181","290,0699079","321,4859748","284,7121858","254,8647218"
"68","PTET.51.1.G0010122","1,68E-003","NO","none","300,6939067","212,8652304","173,4742956","265,4367449","423,5625448","373,4246503"
"69","PTET.51.1.G0010123","5,18E-002","NO","none","212,8861168","137,8759169","151,7193959","127,9432671","153,1531782","173,348152"
"70","PTET.51.1.G0010125","0,53801237","NO","none","20,04759101","14,7619366","26,44878212","17,98760918","21,98916048","10,43297604"
"71","PTET.51.1.G0010126","0,028424996","NO","none","329,6296586","320,4778229","157,4904248","111,0749626","132,4863371","124,2016977"
"72","PTET.51.1.G0010127","9,86E-002","NO","none","10,73705483","9,957831284","18,14456538","44,68802116","6,733106415","9,210891541"
"73","PTET.51.1.G0010128","1,26E-003","NO","none","140,8247158","113,6988003","69,82763586","80,9144311","101,0249604","90,84765388"
"74","PTET.51.1.G0010129","1,39E-001","NO","none","557,0389162","302,7453235","396,3451273","672,4644908","713,3631896","753,2398873"
"75","PTET.51.1.G0010134","2,08E-003","NO","none","1263,507017","750,958182","890,1843652","935,0624344","973,5764469","893,954765"
"76","PTET.51.1.G0010137","3,81E-003","NO","none","50,7903447","90,91691112","67,39633399","87,54330407","95,95501732","47,78479685"
"77","PTET.51.1.G0010138","9,51E-002","NO","none","57,6590796","86,93763986","103,6571757","88,58886477","44,29463316","78,04373496"
"78","PTET.51.1.G0010139","4,61E-001","NO","none","126,972946","122,8153066","109,3183813","129,6804648","141,2708761","137,9287603"
"79","PTET.51.1.G0010140","4,01E-004","NO","none","1303,514049","737,7961481","919,2133327","863,7102806","922,380024","828,1990139"
"80","PTET.51.1.G0010143","1,93E-002","NO","none","2,998738407","21,28847625","14,83932395","11,02858397","20,58021747","19,01244823"
"81","PTET.51.1.G0010147","0,005016123","NO","none","79,47842939","160,5464454","123,4296897","103,2551469","62,79250186","70,62970141"
"82","PTET.51.1.G0010148","0,332274491","NO","none","8,756134895","5,046158345","7,252051916","2,410231792","1,410796702","4,099639248"
"83","PTET.51.1.G0010149","1,94E-003","NO","none","225,9710077","138,1184092","187,3981711","195,5333219","144,1126229","156,0592092"
"84","PTET.51.1.G0010151","0,08494788","NO","none","2,991848745","2,223818248","33,15882161","9,788849358","14,54647066","3,613383468"
"85","PTET.51.1.G0010153","0,031068571","NO","none","93,64649814","55,05865285","58,65619097","60,04315464","70,88810154","64,83342869"
"86","PTET.51.1.G0010154","0,216627637","NO","none","137,7616538","165,0760427","145,6934971","158,5202425","196,8461302","167,094522"
"87","PTET.51.1.G0010156","0,000177862","NO","none","283,6568162","298,6462125","336,8592248","384,0331504","534,19717","528,0434914"
"88","PTET.51.1.G0010157","0,118555747","NO","none","1232,816058","682,8641943","336,6748155","666,7802724","654,1080849","217,4935377"
"89","PTET.51.1.G0010159","3,80E-002","NO","none","160,6804807","84,6457159","187,2527384","171,4438037","201,5328152","200,2100011"
"90","PTET.51.1.G0010162","3,04E-001","NO","none","3142,953397","2887,673317","2813,481162","2655,896254","2879,880678","3002,116479"
"91","PTET.51.1.G0010164","0,121903462","NO","none","559,4787483","459,0052578","384,0941097","423,698267","399,7764173","285,550301"
"92","PTET.51.1.G0010165","1,47E-001","NO","none","173,133501","216,0898728","253,7143739","249,2491714","240,7566392","281,1322288"
"93","PTET.51.1.G0010167","1,09E-003","NO","none","1494,152815","1825,35514","1799,509288","1329,679112","829,8318417","683,0194934"
"94","PTET.51.1.G0010168","4,02E-002","NO","none","63,94042422","80,24812285","76,51099421","94,38435559","94,12136302","83,15548428"
"95","PTET.51.1.G0010171","4,79E-002","NO","none","39,80944168","97,44065225","83,79248503","93,71831293","65,6897066","81,43218659"
"96","PTET.51.1.G0010178","0,068598917","NO","none","18,60255126","7,527517765","31,0823772","2,288127538","6,076748669","48,67149722"
"97","PTET.51.1.G0010179","3,07E-001","NO","none","95,5850559","73,77648733","82,40848342","84,71841459","108,3118893","95,85926139"
"98","PTET.51.1.G0010181","1,87E-001","NO","none","315,2599963","233,0134885","204,6659575","355,0727639","405,7360921","288,8126484"
"99","PTET.51.1.G0010185","0,451068029","NO","none","30,87423279","39,43348077","45,28896812","21,86947917","30,60386508","24,43882769"
"100","PTET.51.1.G0010186","5,28E-002","NO","none","150,5860469","179,1119567","287,3625975","221,7086118","202,6322059","270,2881463"
"101","PTET.51.1.G0010187","0,002377049","NO","none","168,7560297","97,63196173","100,165567","92,85539233","144,600165","183,4963378"
"102","PTET.51.1.G0010191","0,059098327","NO","none","29921,03878","19815,15289","19491,1458","16429,07359","26121,38416","40279,4992"
"103","PTET.51.1.G0010192","8,18E-002","NO","none","5464,775941","3733,010361","3437,066583","2650,863226","3013,333199","4338,189875"
"104","PTET.51.1.G0010193","0,574322311","NO","none","39,8608655","56,1258539","31,88849026","34,85462788","35,73570628","40,80516696"
"105","PTET.51.1.G0010196","5,33E-002","NO","none","31,46280822","28,4856085","54,13221473","45,040203","53,01053441","48,29415926"
"106","PTET.51.1.G0010198","1,21E-001","NO","none","3881,289355","2923,463833","2949,138716","5926,274494","6629,156317","7259,520244"
"107","PTET.51.1.G0010200","0,13346121","NO","none","64,84219775","91,86027358","67,18483529","74,23557632","104,2182498","50,12663963"
"108","PTET.51.1.G0010201","3,50E-001","NO","none","196,7232233","246,7936457","232,2521658","226,1448069","208,9220437","260,1436256"
"109","PTET.51.1.G0010203","2,15E-001","NO","none","928,7640577","708,2910653","765,6810211","957,6470814","747,5726669","822,5929884"
"110","PTET.51.1.G0010205","0,111909662","NO","none","946,7080486","726,6570199","859,4062876","918,0235961","1217,114048","757,5708784"
"111","PTET.51.1.G0010206","3,68E-001","NO","none","269,5696964","235,6702162","274,0447028","240,383076","240,2204849","267,7849084"
"112","PTET.51.1.G0010209","5,19E-001","NO","none","52,68334477","59,47257571","57,19101858","62,34634487","62,65783229","40,05749494"
"113","PTET.51.1.G0010211","1,73E-001","NO","none","68,36061383","46,68008101","72,61159181","97,78200434","104,2965513","83,05218654"
"114","PTET.51.1.G0010214","1,95E-002","NO","none","36,37059838","61,52057689","94,60070998","79,20218007","79,39304401","82,83784636"
"115","PTET.51.1.G0010216","3,37E-001","NO","none","8,517422957","3,253665228","9,893906177","2,058308846","4,733269939","5,859453718"
"116","PTET.51.1.G0010217","Inf","NO","none","0","0","0","0","0","0"
"117","PTET.51.1.G0010218","0,282628832","NO","none","40,20430094","38,07641577","35,13874447","30,46086327","25,72731231","18,92655278"
"118","PTET.51.1.G0010219","0,017956992","NO","none","5202,295616","4861,316391","2824,91031","2655,743005","2818,696252","2368,205458"
"119","PTET.51.1.G0010220","0,008023006","NO","none","13358,62861","10778,98415","11117,90861","13219,06546","18178,42793","26107,98954"
"120","PTET.51.1.G0010221","4,93E-001","NO","none","1542,623166","1308,751394","1323,238937","1352,686994","1670,941786","1813,009627"
"121","PTET.51.1.G0010222","0,003209318","NO","none","3242,47403","2486,732921","1883,672584","1976,426556","3459,273396","3822,326862"
"122","PTET.51.1.G0010223","0,459548501","NO","none","345,7295262","361,0747642","437,308662","382,1271756","368,5137798","447,9198352"
"123","PTET.51.1.G0010224","0,213700804","NO","none","120,4409291","82,29060118","97,30698833","123,2634789","144,3623578","126,2601925"
"124","PTET.51.1.G0010225","0,396767156","NO","none","239,431778","195,3125175","263,7079802","273,4362604","196,8076216","189,96541"
"125","PTET.51.1.G0010226","5,56E-001","NO","none","13,32683738","13,10601594","13,92068517","12,90195986","18,21622791","17,82398281"
"126","PTET.51.1.G0010227","0,008746636","NO","none","77,87109989","120,7685492","109,5466656","105,5149357","147,9131608","111,2517517"
"127","PTET.51.1.G0010228","2,29E-003","NO","none","3298,361153","1849,144017","2053,787039","1910,579104","1962,749209","2366,538915"
"128","PTET.51.1.G0010230","2,62E-002","NO","none","855,9475182","1070,406189","1197,688975","1189,078843","1154,429685","1227,006246"
"129","PTET.51.1.G0010232","1,79E-001","NO","none","924,272709","1273,33853","999,6171787","766,9915804","907,8981008","847,892116"
"130","PTET.51.1.G0010235","4,58E-001","NO","none","490,9149082","540,2613691","564,7406334","534,6632039","568,4749245","841,8071824"
"131","PTET.51.1.G0010238","Inf","NO","none","0","0","0","0","0","0"
"132","PTET.51.1.G0010239","2,13E-001","NO","none","239,3525709","173,550359","185,0891468","209,5026166","190,7288874","169,0567895"
"133","PTET.51.1.G0010240","0,183266763","NO","none","302,5544664","324,6369511","342,469367","335,2582981","376,7949699","376,5654906"
"134","PTET.51.1.G0010241","7,86E-003","NO","none","272,1183708","183,8026196","152,1266475","132,6537545","142,5581826","141,089912"
"135","PTET.51.1.G0010244","0,221388066","NO","none","153,3425075","166,4153619","225,1513082","186,0059463","229,1664622","301,4441069"
"136","PTET.51.1.G0010245","1,00E+000","NO","none","0","0,356129391","0,323323114","0","0","0"
"137","PTET.51.1.G0010247","1,29E-005","NO","none","259,9747195","265,1268373","335,5176564","377,5815047","448,0296927","403,238074"
"138","PTET.51.1.G0010248","7,58E-002","NO","none","65,41260402","122,2080817","111,5104137","111,4654349","67,29545388","70,54856315"
"139","PTET.51.1.G0010250","1,30E-002","NO","none","434,9065244","219,6485078","176,4344117","244,223414","292,5592569","112,5434721"
"140","PTET.51.1.G0010251","3,47E-001","NO","none","130,5372457","148,5555683","124,6601181","120,8571375","157,6298533","117,8856743"
"141","PTET.51.1.G0010252","3,82E-001","NO","none","186,9031972","231,3717444","204,2617468","198,7274746","226,5118568","147,2311799"
"142","PTET.51.1.G0010253","1,16E-005","NO","none","1007,577013","573,6847786","936,7363101","685,525225","568,506108","577,3184542"
"143","PTET.51.1.G0010255","0,068634466","NO","none","190,4422708","84,06851935","175,930057","227,8314736","275,7413923","231,399165"
"144","PTET.51.1.G0010256","6,83E-001","NO","none","145,4167052","121,8245945","119,4956655","172,8833218","164,7926358","120,9485909"
"145","PTET.51.1.G0010257","1,40E-014","NO","none","7050,177115","7094,278987","7334,191972","9451,874409","14089,9169","15089,8293"
"146","PTET.51.1.G0010260","0,482860185","NO","none","4,699863312","11,35588263","4,70437992","4,364523375","4,931946274","3,481996094"
"147","PTET.51.1.G0010261","0,18818839","NO","none","83,80476781","59,56845358","39,57109615","45,57973991","45,60194127","19,90881663"
"148","PTET.51.1.G0010262","2,99E-001","NO","none","920,0913771","630,2586143","809,2412169","1023,252011","1024,198662","860,4554033"
"149","PTET.51.1.G0010263","0,057767478","NO","none","1,33243537","0,990389001","4,153919073","10,4444607","7,153282449","23,9580324"
"150","PTET.51.1.G0010264","0,104731694","NO","none","22,38904666","4,022759883","12,83783139","11,43494182","21,42977887","4,24601404"
"151","PTET.51.1.G0010266","3,45E-002","NO","none","115,1828708","49,87371168","50,68262377","57,76806858","55,24994823","79,17126907"
"152","PTET.51.1.G0010269","1,30E-007","NO","none","3195,487645","3447,799961","3883,42639","4473,036552","5513,200829","6598,787696"
"153","PTET.51.1.G0010271","2,69E-001","NO","none","2747,87666","2916,258496","2780,394666","2345,971865","2540,81577","2453,032491"
"154","PTET.51.1.G0010272","0,025945672","NO","none","616,9290261","726,3515761","792,9148663","624,2516104","714,1607843","572,1218413"
"155","PTET.51.1.G0010274","0,118949142","NO","none","296,5896207","331,0363393","309,675745","369,9450738","472,4652925","245,7010261"
"156","PTET.51.1.G0010275","0,021252539","NO","none","21,34690197","94,73482166","60,77830745","14,13346806","33,81271728","1,755770719"
"157","PTET.51.1.G0010276","1,17E-001","NO","none","1,216138019","5,810588384","4,935747204","1,202088178","5,228269838","16,71783914"
"158","PTET.51.1.G0010279","1,82E-001","NO","none","1106,20939","1398,001587","3446,289849","2641,560841","1588,181563","1825,723622"
"159","PTET.51.1.G0010281","4,53E-002","NO","none","1,528750299","8,601203123","11,9556579","5,079919038","6,590231898","3,540563431"
"160","PTET.51.1.G0010283","2,50E-002","NO","none","168,6804336","250,6402765","309,5357421","273,458471","205,9992029","233,5024516"
"161","PTET.51.1.G0010287","5,29E-002","NO","none","60,92697113","48,71464689","34,4575614","26,50069143","88,1791428","40,29388351"
"162","PTET.51.1.G0010288","3,28E-001","NO","none","9,562183245","5,160103599","8,003871814","2,485044545","6,317602961","10,35936099"
"163","PTET.51.1.G0010291","3,96E-003","NO","none","20,04825811","24,20311736","21,32551785","30,72060306","37,16193564","30,93430488"
"164","PTET.51.1.G0010294","8,89E-003","NO","none","548,2977035","395,9459008","773,0009477","742,5214468","896,3413193","347,6740189"
"165","PTET.51.1.G0010295","0,210527067","NO","none","44,35901303","19,72548217","67,59222993","54,29203262","34,31755962","35,08911063"
"166","PTET.51.1.G0010296","Inf","NO","none","0","0","0","0","0","0"
"167","PTET.51.1.G0010301","3,13E-002","NO","none","39,61107954","53,04646967","62,34742284","57,07759486","75,71674094","65,67080639"
"168","PTET.51.1.G0010303","0,283427602","NO","none","19,15458642","27,35933852","40,17338045","38,65531211","33,36745432","32,09904964"
"169","PTET.51.1.G0010304","5,47E-002","NO","none","107,7945277","157,3277509","491,5517566","464,7049998","339,8519906","431,3606263"
"170","PTET.51.1.G0010305","1,34E-001","NO","none","618,4828588","375,7714726","339,0182656","375,2450588","536,162012","961,4622194"
"171","PTET.51.1.G0010307","1,76E-001","NO","none","66,93052246","45,8772357","114,53998","93,38650693","38,28923933","94,5485645"
"172","PTET.51.1.G0010309","0,000432866","NO","none","158,9546714","239,751333","238,7552946","254,999984","278,5820429","288,9483025"
"173","PTET.51.1.G0010310","0,08528877","NO","none","30,23454048","25,32818732","39,44228135","37,44510901","15,63598597","29,96093966"
"174","PTET.51.1.G0010311","1,14E-001","NO","none","287,9123064","236,1282188","215,5434718","245,0847408","297,9436682","327,0798833"
"175","PTET.51.1.G0010314","7,64E-006","NO","none","4595,406743","2727,066885","2921,352658","2990,043672","4119,85678","4895,329794"
"176","PTET.51.1.G0010317","0,000864014","NO","none","619,1069582","733,8550471","733,8714934","733,9163321","1025,246732","1105,372134"
"177","PTET.51.1.G0010318","0,001396099","NO","none","33,7837022","19,63784936","23,73734242","28,57077409","39,72120298","62,18687624"
"178","PTET.51.1.G0010319","4,89E-002","NO","none","1908,464836","1413,989804","1155,815893","1225,491383","1302,646967","1218,504291"
"179","PTET.51.1.G0010320","1,53E-006","NO","none","1100,786013","1668,884389","1576,193698","1889,229446","2070,568004","2883,639199"
"180","PTET.51.1.G0010322","0,001252325","NO","none","503,3450362","495,3063163","540,1632306","379,7490967","321,7558502","299,1375819"
"181","PTET.51.1.G0010323","6,21E-001","NO","none","652,1507361","597,3697127","599,4852244","570,0574232","613,9202301","534,9246689"
"182","PTET.51.1.G0010325","0,023547595","NO","none","469,8651219","342,1882024","356,1270951","410,3586915","415,1955239","403,605579"
"183","PTET.51.1.G0010326","0,049901012","NO","none","280,4349095","260,780661","209,3412333","408,3559267","411,9286576","648,6135283"
"184","PTET.51.1.G0010327","9,80E-002","NO","none","35,41685691","28,07006104","27,02214281","46,76609954","54,54164639","45,29889501"
"185","PTET.51.1.G0010328","3,89E-002","NO","none","54,6796343","67,55696239","115,485617","121,4714366","124,3446345","98,74798403"
